"country";"variable";"percentile";"year";"value";"age";"pop"
"IT";"tptincj992";"p0p15";2022;"55.1";992;"j"
"IT";"tptincj992";"p0p15";2023;"55.5";992;"j"
"IT";"tptincj992";"p0p16";1820;"111.8";992;"j"
"IT";"tptincj992";"p0p16";1850;"104.2";992;"j"
"IT";"tptincj992";"p0p16";1880;"127.1";992;"j"
"IT";"tptincj992";"p0p16";1900;"134.6";992;"j"
"IT";"tptincj992";"p0p16";1910;"146.7";992;"j"
"IT";"tptincj992";"p0p16";1920;"127.2";992;"j"
"IT";"tptincj992";"p0p16";1930;"123.5";992;"j"
"IT";"tptincj992";"p0p16";1940;"137.8";992;"j"
"IT";"tptincj992";"p0p16";1950;"217.1";992;"j"
